ACCT,DATE,DESCRIPTION,TYPE,AMOUNT,BALANCE
D01141, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 7/1/2013, 263388377, CREDIT, -249.00, -249.00
D01141, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01141, 8/1/2013, 268680145, CREDIT, -249.00, -249.00
D01141, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00

D01142, 9/15/2011, F/C, FINANCE CHARGE, 25.00, 25.00
D01142, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 1/9/2012, 0074690622, CREDIT, -249.00, 25.00
D01142, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 2/8/2012, 0086581793, CREDIT, -249.00, 25.00
D01142, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 3/8/2012, 0097080778, CREDIT, -249.00, 25.00
D01142, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 4/9/2012, 0009175921, CREDIT, -249.00, 25.00
D01142, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 5/7/2012, 0019152906, CREDIT, -249.00, 25.00
D01142, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 6/13/2012, 0035295787, CREDIT, -249.00, 25.00
D01142, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 7/9/2012, 0044612077, CREDIT, -249.00, 25.00
D01142, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01142, 8/9/2012, 0055856244, CREDIT, -249.00, 25.00
D01142, 8/23/2012, WAIVE LATE CHARGE, CREDIT, -25.00, 0.00
D01142, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01142, 9/10/2012, 0065911467, CREDIT, -249.00, 0.00
D01142, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01142, 10/15/2012, F/C, FINANCE CHARGE, 25.00, 274.00
D01142, 10/24/2012, FINE: LEASE, OTHER CHARGE, 750.00, 1024.00
D01142, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 1273.00
D01142, 11/9/2012, FINE: LEASE, OTHER CHARGE, 750.00, 2023.00
D01142, 11/13/2012, 0088821746, CREDIT, -249.00, 1774.00
D01142, 11/14/2012, 0090165269, CREDIT, -249.00, 1525.00
D01142, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 1774.00
D01142, 12/12/2012, 0099624540, CREDIT, -249.00, 1525.00
D01142, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 1774.00
D01142, 1/9/2013, 0011110111, CREDIT, -249.00, 1525.00
D01142, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 1774.00
D01142, 2/11/2013, 0022595459, CREDIT, -249.00, 1525.00
D01142, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 1774.00
D01142, 3/8/2013, 0043429063, CREDIT, -249.00, 1525.00
D01142, 3/15/2013, F/C, FINANCE CHARGE, 25.00, 1550.00
D01142, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 1799.00
D01142, 4/3/2013, WAIVE FINES, CREDIT, -1500.00, 299.00
D01142, 4/9/2013, 0055801538, CREDIT, -249.00, 50.00
D01142, 4/15/2013, F/C, FINANCE CHARGE, 25.00, 75.00
D01142, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 324.00
D01142, 5/3/2013, 0064416178, CREDIT, -75.00, 249.00
D01142, 5/7/2013, 0065728571, CREDIT, -249.00, 0.00
D01142, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01142, 6/4/2013, 0076120539, CREDIT, -249.00, 0.00
D01142, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01142, 7/9/2013, 0089443531, CREDIT, -249.00, 0.00
D01142, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01142, 8/6/2013, 0099215653, CREDIT, -249.00, 0.00

D01143, , PRIOR, CREDIT, -92.50, -92.50
D01143, 3/27/2009, JUDGMENT, CREDIT, 2341.97, 2249.47
D01143, 11/18/2009, LEGALFEES, OTHER CHARGE, 672.42, 2921.89
D01143, 3/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 3197.89
D01143, 3/15/2010, F/C, FINANCE CHARGE, 25.00, 3222.89
D01143, 4/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 3498.89
D01143, 4/15/2010, F/C, FINANCE CHARGE, 25.00, 3523.89
D01143, 5/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 3799.89
D01143, 5/17/2010, F/C, FINANCE CHARGE, 25.00, 3824.89
D01143, 6/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 4100.89
D01143, 6/15/2010, F/C, FINANCE CHARGE, 25.00, 4125.89
D01143, 7/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 4401.89
D01143, 7/15/2010, F/C, FINANCE CHARGE, 25.00, 4426.89
D01143, 8/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 4702.89
D01143, 8/16/2010, F/C, FINANCE CHARGE, 25.00, 4727.89
D01143, 8/26/2010, 4164087162, CREDIT, -68.78, 4659.11
D01143, 9/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 4935.11
D01143, 9/7/2010, 187, CREDIT, -350.00, 4585.11
D01143, 9/13/2010, BDW: SHERIFF'S SALE, CREDIT, -2281.69, 2303.42
D01143, 9/15/2010, F/C, FINANCE CHARGE, 25.00, 2328.42
D01143, 10/1/2010, ASSESSED VALUATION DISPUTE F, OTHER CHARGE, 32.36, 2360.78
D01143, 10/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 2636.78
D01143, 10/15/2010, F/C, FINANCE CHARGE, 25.00, 2661.78
D01143, 11/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 2937.78
D01143, 11/15/2010, F/C, FINANCE CHARGE, 25.00, 2962.78
D01143, 12/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 3238.78
D01143, 12/15/2010, F/C, FINANCE CHARGE, 25.00, 3263.78
D01143, 1/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 3531.78
D01143, 1/18/2011, F/C, FINANCE CHARGE, 25.00, 3556.78
D01143, 2/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 3824.78
D01143, 2/15/2011, F/C, FINANCE CHARGE, 25.00, 3849.78
D01143, 3/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4117.78
D01143, 3/15/2011, F/C, FINANCE CHARGE, 25.00, 4142.78
D01143, 4/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4410.78
D01143, 4/15/2011, F/C, FINANCE CHARGE, 25.00, 4435.78
D01143, 5/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4703.78
D01143, 5/16/2011, F/C, FINANCE CHARGE, 25.00, 4728.78
D01143, 6/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4996.78
D01143, 6/15/2011, F/C, FINANCE CHARGE, 25.00, 5021.78
D01143, 7/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 5289.78
D01143, 7/15/2011, F/C, FINANCE CHARGE, 25.00, 5314.78
D01143, 8/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 5582.78
D01143, 8/15/2011, F/C, FINANCE CHARGE, 25.00, 5607.78
D01143, 9/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 5875.78
D01143, 9/15/2011, F/C, FINANCE CHARGE, 25.00, 5900.78
D01143, 10/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 6168.78
D01143, 10/17/2011, F/C, FINANCE CHARGE, 25.00, 6193.78
D01143, 11/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 6461.78
D01143, 11/15/2011, F/C, FINANCE CHARGE, 25.00, 6486.78
D01143, 12/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 6754.78
D01143, 12/15/2011, F/C, FINANCE CHARGE, 25.00, 6779.78
D01143, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7028.78
D01143, 1/17/2012, F/C, FINANCE CHARGE, 25.00, 7053.78
D01143, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7302.78
D01143, 2/15/2012, F/C, FINANCE CHARGE, 25.00, 7327.78
D01143, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7576.78
D01143, 3/15/2012, F/C, FINANCE CHARGE, 25.00, 7601.78
D01143, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7850.78
D01143, 4/16/2012, F/C, FINANCE CHARGE, 25.00, 7875.78
D01143, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 8124.78
D01143, 5/15/2012, F/C, FINANCE CHARGE, 25.00, 8149.78
D01143, 5/30/2012, 052822, CREDIT, -6203.60, 1946.18
D01143, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2195.18
D01143, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2444.18
D01143, 7/5/2012, 0013297466, CREDIT, -249.00, 2195.18
D01143, 7/30/2012, 50169526, CREDIT, -2328.42, -133.24
D01143, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 115.76
D01143, 8/15/2012, CREDIT LATE CHARGE, CREDIT, -25.00, 90.76
D01143, 8/15/2012, F/C, FINANCE CHARGE, 25.00, 115.76
D01143, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 364.76
D01143, 9/17/2012, F/C, FINANCE CHARGE, 25.00, 389.76
D01143, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 638.76
D01143, 10/15/2012, F/C, FINANCE CHARGE, 25.00, 663.76
D01143, 10/17/2012, 1005, CREDIT, -638.76, 25.00
D01143, 10/17/2012, 1006, CREDIT, -249.00, -224.00
D01143, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 25.00
D01143, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01143, 12/12/2012, 1007, CREDIT, -274.00, 0.00
D01143, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 1/14/2013, 234996265, CREDIT, -249.00, 0.00
D01143, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 2/8/2013, 1008, CREDIT, -249.00, 0.00
D01143, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 3/12/2013, 244630079, CREDIT, -249.00, 0.00
D01143, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 4/11/2013, 249850766, CREDIT, -249.00, 0.00
D01143, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 5/13/2013, 254772707, CREDIT, -249.00, 0.00
D01143, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 6/11/2013, 260100524, CREDIT, -249.00, 0.00
D01143, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 7/11/2013, 265341764, CREDIT, -249.00, 0.00
D01143, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01143, 8/9/2013, 270341208, CREDIT, -249.00, 0.00

D01144, , PRIOR, CREDIT, -612.00, -612.00
D01144, 3/27/2009, JUDGMENT, CREDIT, 3066.97, 2454.97
D01144, 11/18/2009, LEGALFEES, OTHER CHARGE, 672.42, 3127.39
D01144, 7/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 3403.39
D01144, 7/12/2010, 1413, CREDIT, -215.75, 3187.64
D01144, 8/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 3463.64
D01144, 8/5/2010, 1408, CREDIT, -750.00, 2713.64
D01144, 8/31/2010, BDW: SHERIFF'S SALE, OTHER CHARGE, 0.00, 2713.64
D01144, 8/31/2010, BDW: SHERIFF'S SALE, OTHER CHARGE, 10864.78, 13578.42
D01144, 9/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 13854.42
D01144, 9/7/2010, 1418, CREDIT, -750.00, 13104.42
D01144, 9/15/2010, F/C, FINANCE CHARGE, 25.00, 13129.42
D01144, 10/1/2010, ASSESSED VALUATION DISPUTE F, OTHER CHARGE, 32.36, 13161.78
D01144, 10/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 13437.78
D01144, 10/12/2010, 1419, CREDIT, -750.00, 12687.78
D01144, 10/15/2010, F/C, FINANCE CHARGE, 25.00, 12712.78
D01144, 11/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 12988.78
D01144, 11/10/2010, 1425, CREDIT, -750.00, 12238.78
D01144, 11/15/2010, F/C, FINANCE CHARGE, 25.00, 12263.78
D01144, 12/1/2010, MONTHLY ASSESSMENT, ASSESMENT, 276.00, 12539.78
D01144, 12/10/2010, 1433, CREDIT, -750.00, 11789.78
D01144, 12/15/2010, F/C, FINANCE CHARGE, 25.00, 11814.78
D01144, 1/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 12082.78
D01144, 1/10/2011, 1446, CREDIT, -750.00, 11332.78
D01144, 1/18/2011, F/C, FINANCE CHARGE, 25.00, 11357.78
D01144, 2/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 11625.78
D01144, 2/10/2011, 1455, CREDIT, -750.00, 10875.78
D01144, 2/15/2011, F/C, FINANCE CHARGE, 25.00, 10900.78
D01144, 3/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 11168.78
D01144, 3/10/2011, 1465, CREDIT, -750.00, 10418.78
D01144, 4/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 10686.78
D01144, 4/8/2011, 1778, CREDIT, -750.00, 9936.78
D01144, 5/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 10204.78
D01144, 5/10/2011, 1489, CREDIT, -750.00, 9454.78
D01144, 6/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 9722.78
D01144, 6/10/2011, 1493, CREDIT, -750.00, 8972.78
D01144, 7/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 9240.78
D01144, 7/11/2011, 0320933225, CREDIT, -750.00, 8490.78
D01144, 8/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 8758.78
D01144, 8/10/2011, 1505, CREDIT, -750.00, 8008.78
D01144, 9/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 8276.78
D01144, 9/12/2011, 1511, CREDIT, -750.00, 7526.78
D01144, 10/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 7794.78
D01144, 10/11/2011, 1524, CREDIT, -750.00, 7044.78
D01144, 11/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 7312.78
D01144, 11/15/2011, 1529, CREDIT, -750.00, 6562.78
D01144, 12/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 6830.78
D01144, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7079.78
D01144, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7328.78
D01144, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 7577.78
D01144, 3/15/2012, F/C, FINANCE CHARGE, 25.00, 7602.78
D01144, 3/26/2012, 0012978564, CREDIT, -3216.00, 4386.78
D01144, 3/26/2012, 0012978330, CREDIT, -1104.00, 3282.78
D01144, 3/26/2012, 0012978227, CREDIT, -747.00, 2535.78
D01144, 3/26/2012, 0012977547, CREDIT, -150.00, 2385.78
D01144, 3/26/2012, 0012976937, CREDIT, -32.36, 2353.42
D01144, 4/1/2012, 0012988856, CREDIT, -249.00, 2104.42
D01144, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2353.42
D01144, 4/24/2012, 4251013400, CREDIT, -2353.42, 0.00
D01144, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 5/17/2012, 054026408, CREDIT, -249.00, 0.00
D01144, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 6/6/2012, 54428339, CREDIT, -249.00, 0.00
D01144, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 7/2/2012, 055370898, CREDIT, -249.00, 0.00
D01144, 7/31/2012, 056315436, CREDIT, -249.00, -249.00
D01144, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 9/4/2012, 057237868, CREDIT, -249.00, 0.00
D01144, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 10/3/2012, 058189989, CREDIT, -249.00, 0.00
D01144, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 11/2/2012, 059147594, CREDIT, -249.00, 0.00
D01144, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 12/5/2012, 060097451, CREDIT, -249.00, 0.00
D01144, 12/27/2012, 060894853, CREDIT, -249.00, -249.00
D01144, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 1/2/2013, 061054593, CREDIT, -249.00, -249.00
D01144, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01144, 3/4/2013, 062850481, CREDIT, -249.00, 0.00
D01144, 4/1/2013, 063766563, CREDIT, -249.00, -249.00
D01144, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 4/30/2013, 064738296, CREDIT, -249.00, -249.00
D01144, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 5/29/2013, 065692047, CREDIT, -249.00, -249.00
D01144, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 7/1/2013, 066634131, CREDIT, -249.00, -249.00
D01144, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01144, 7/30/2013, 067587300, CREDIT, -249.00, -249.00
D01144, 8/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00

D01145, , PRIOR, CREDIT, -46.25, -46.25
D01145, 3/27/2009, JUDGMENT, CREDIT, 3136.97, 3090.72
D01145, 11/18/2009, LEGALFEES, OTHER CHARGE, 672.42, 3763.14
D01145, 9/7/2010, 2078, CREDIT, -375.00, 3388.14
D01145, 11/10/2010, 126, CREDIT, -297.42, 3090.72
D01145, 5/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 3358.72
D01145, 5/16/2011, F/C, FINANCE CHARGE, 25.00, 3383.72
D01145, 6/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 3651.72
D01145, 6/6/2011, REPAIR: INVOICE # ABT10773336, OTHER CHARGE, 544.07, 4195.79
D01145, 6/15/2011, F/C, FINANCE CHARGE, 25.00, 4220.79
D01145, 7/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4488.79
D01145, 7/15/2011, F/C, FINANCE CHARGE, 25.00, 4513.79
D01145, 8/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 4781.79
D01145, 8/9/2011, CORRECT MO # 6897946274, OTHER CHARGE, 100.00, 4881.79
D01145, 8/9/2011, CORRECT MO # 14359266599, OTHER CHARGE, 330.00, 5211.79
D01145, 8/15/2011, F/C, FINANCE CHARGE, 25.00, 5236.79
D01145, 9/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 5504.79
D01145, 9/15/2011, F/C, FINANCE CHARGE, 25.00, 5529.79
D01145, 10/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 5797.79
D01145, 10/17/2011, F/C, FINANCE CHARGE, 25.00, 5822.79
D01145, 11/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 6090.79
D01145, 11/15/2011, 4467000002, CREDIT, -53.72, 6037.07
D01145, 11/15/2011, F/C, FINANCE CHARGE, 25.00, 6062.07
D01145, 11/19/2011, REPAIRS, OTHER CHARGE, 97.94, 6160.01
D01145, 12/1/2011, MONTHLY ASSESSMENT, ASSESMENT, 268.00, 6428.01
D01145, 12/15/2011, F/C, FINANCE CHARGE, 25.00, 6453.01
D01145, 1/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 6702.01
D01145, 1/6/2012, BDW: SHERIFF'S SALE, CREDIT, -4465.59, 2236.42
D01145, 1/17/2012, F/C, FINANCE CHARGE, 25.00, 2261.42
D01145, 2/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2510.42
D01145, 2/15/2012, F/C, FINANCE CHARGE, 25.00, 2535.42
D01145, 3/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2784.42
D01145, 3/15/2012, F/C, FINANCE CHARGE, 25.00, 2809.42
D01145, 4/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 3058.42
D01145, 4/16/2012, F/C, FINANCE CHARGE, 25.00, 3083.42
D01145, 5/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 3332.42
D01145, 5/15/2012, F/C, FINANCE CHARGE, 25.00, 3357.42
D01145, 6/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 3606.42
D01145, 6/15/2012, F/C, FINANCE CHARGE, 25.00, 3631.42
D01145, 6/29/2012, 13283835, CREDIT, -1494.00, 2137.42
D01145, 6/29/2012, 13283234, CREDIT, -125.00, 2012.42
D01145, 7/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2261.42
D01145, 8/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 2510.42
D01145, 8/6/2012, 0013376158, CREDIT, -249.00, 2261.42
D01145, 8/6/2012, ENTRY DOOR KEY, OTHER CHARGE, 5.00, 2266.42
D01145, 8/15/2012, 50177121, CREDIT, -2510.42, -244.00
D01145, 8/20/2012, ENTRY DOOR KEYS, OTHER CHARGE, 15.00, -229.00
D01145, 8/21/2012, POOL KEYS & TENNIS COURT KEY, OTHER CHARGE, 20.00, -209.00
D01145, 8/21/2012, REIMBURSE PREVIOUS HOMEOW, OTHER CHARGE, 249.00, 40.00
D01145, 9/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 289.00
D01145, 9/10/2012, 03915, CREDIT, -249.00, 40.00
D01145, 10/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 289.00
D01145, 10/15/2012, F/C, FINANCE CHARGE, 25.00, 314.00
D01145, 10/18/2012, 0000005653, CREDIT, -40.00, 274.00
D01145, 10/29/2012, 03918, CREDIT, -249.00, 25.00
D01145, 11/1/2012, 0000005660, CREDIT, -249.00, -224.00
D01145, 11/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 25.00
D01145, 12/1/2012, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 274.00
D01145, 12/4/2012, 005665, CREDIT, -274.00, 0.00
D01145, 1/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01145, 1/2/2013, 005678, CREDIT, -249.00, 0.00
D01145, 2/1/2013, 005689, CREDIT, -249.00, -249.00
D01145, 2/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01145, 3/1/2013, 005700, CREDIT, -249.00, -249.00
D01145, 3/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 0.00
D01145, 4/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01145, 4/2/2013, 005707, CREDIT, -249.00, 0.00
D01145, 4/11/2013, 249855173, CREDIT, 0.00, 0.00
D01145, 5/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01145, 5/3/2013, 005718, CREDIT, -249.00, 0.00
D01145, 6/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01145, 6/4/2013, 005729, CREDIT, -249.00, 0.00
D01145, 7/1/2013, MONTHLY ASSESSMENT, ASSESMENT, 249.00, 249.00
D01145, 7/2/2013, 005742, CREDIT, -249.00, 0.00
